model,device_type,device_type_confidence,device_type_justification
Carel PCO1000WB0,Building Management Controller (BMS),high,"The Carel PCO1000WB0 is a controller specifically designed for HVAC applications, fitting the BMS category."
Hill-Rom NaviCare Room Control Board,Building Management Controller (BMS),high,"The Hill-Rom NaviCare Room Control Board is used for managing room environments in healthcare settings, aligning with BMS."
Honeywell ComfortPoint Open CPO-VAV2A,Building Management Controller (BMS),high,"The Honeywell ComfortPoint Open CPO-VAV2A is a controller for HVAC systems, fitting the BMS category."
Johnson Controls NAE,Building Management Controller (BMS),high,The Johnson Controls NAE is a network automation engine used for building management systems.
Siemens PXC Modular,Building Management Controller (BMS),medium,"The Siemens PXC Modular is commonly used in building management systems, though it can have broader applications."
Rockwell Automation PanelView Plus,HMI,high,The Rockwell Automation PanelView Plus is a well-established human-machine interface used in industrial settings.
Rockwell Automation PanelView Plus 7 Performance 1000,HMI,high,The Rockwell Automation PanelView Plus 7 Performance 1000 is a high-performance HMI widely recognized in the industry.
Siemens SIMATIC HMI,HMI,high,The Siemens SIMATIC HMI is a recognized human-machine interface product family in the automation sector.
Siemens SIMATIC IPC,Industrial PC (IPC),high,The Siemens SIMATIC IPC is specifically designed for industrial computing applications.
IGEL IGEL Thin Client,Industrial PC (IPC),medium,"The IGEL IGEL Thin Client is often used in industrial settings for various applications, fitting the IPC category."
Nova Biomedical StatStrip,Laboratory Analyzer,high,The Nova Biomedical StatStrip is a well-known device used for laboratory analysis in medical settings.
Alaris 8100 Pump Module,Medical Infusion Pump,high,The Alaris 8100 Pump Module is specifically designed for delivering medication and fluids to patients.
Alaris 8110 Syringe Module,Medical Infusion Pump,high,The Alaris 8110 Syringe Module is a component of an infusion system used for precise medication delivery.
B.Braun Infusomat Space,Medical Infusion Pump,high,The B.Braun Infusomat Space is a widely recognized infusion pump used in healthcare settings.
Baxter Novum IQ,Medical Infusion Pump,high,The Baxter Novum IQ is a medical infusion pump known for its advanced medication delivery capabilities.
Baxter Sigma Spectrum,Medical Infusion Pump,high,The Baxter Sigma Spectrum is a widely used infusion pump in clinical environments.
Baxter Spectrum IQ,Medical Infusion Pump,high,The Baxter Spectrum IQ is a medical infusion pump that is part of the Sigma Spectrum family.
Hospira Plum 360,Medical Infusion Pump,high,The Hospira Plum 360 is a widely recognized infusion pump used in medical settings.
Roche Accu-Chek Inform II,Medical Infusion Pump,high,The Roche Accu-Chek Inform II is specifically designed for medical infusion applications.
Alaris 8015 PC Unit,Medical Patient Monitor,high,The Alaris 8015 PC Unit is part of a medical device system primarily used for patient monitoring.
Philips EarlyVue VS30,Medical Patient Monitor,high,The Philips EarlyVue VS30 is specifically designed for patient monitoring in healthcare environments.
Philips IntelliVue,Medical Patient Monitor,high,The Philips IntelliVue is a widely recognized patient monitoring system used in hospitals.
Philips IntelliVue MX40,Medical Patient Monitor,high,The Philips IntelliVue MX40 is a portable patient monitor commonly used in clinical settings.
